44197,51,111417
44198,91,182127
44199,77,157540
44200,53,108119
44201,48,100602
44203,81,163384
44204,57,118596
44205,93,195610
44206,104,212276
44207,87,176874
44208,60,121465
44210,63,126992
44211,50,106880
44212,77,156731
44213,81,168552
44214,57,122325
44215,62,128710
44217,99,201715
44218,72,144524
44219,60,125809
44220,93,188364
44221,100,202407
44222,93,192649
44224,55,116970
44225,86,181213
44226,79,160123
44227,65,136539
44228,114,228635
44229,48,102411
44231,109,222990
44232,48,101702
44233,81,167335
44234,111,222808
44235,55,110852
44236,74,154083
44238,32,66041
44239,75,152283
44240,55,112293
44241,50,103313
44242,92,187695
44243,95,193668
44245,33,75398
44246,55,114925
44247,76,157452
44248,104,209719
44249,110,225291
44250,69,142573
44252,52,108690
44253,34,77794
44254,36,77722
44255,90,185995
44256,68,140113
44257,50,100685
44259,89,179916
44260,66,132961
44261,94,189321
44262,108,219568
44263,57,114337
44264,119,242627
44266,109,225869
44267,106,213364
44268,106,217493
44269,43,89862
44270,84,171166
44271,45,90895
44273,101,207925
44274,63,132154
44275,111,228163
44276,97,202663
44277,106,213030
44278,69,145211
44280,76,153441
44281,98,199161
44282,97,197908
44283,78,165279
44284,92,185710
44285,107,217386
44287,79,163369
44288,87,180187
44289,41,89865
44290,52,107627
44291,115,233079
44292,60,122576
44294,66,135367
44295,72,149170
44296,117,243859
44297,106,221113
44298,39,86476
44299,97,196056
44301,81,166633
44302,35,74140
44303,117,235958
44304,44,91798
